id,hoard,mint,mint_uri,mint_info,count,min_count,max_count,count_info,denomination,denommenation_uri,material,material_uri,ruler,ruler_uri,type,obv_type,rev_type,countermark,intrusion,notes,sources,weight (g),rotation,diam
10757,"ch10,317",Lycian Dynastic,https://pleiades.stoa.org/places/638965,,1,,,,,,,,,,,,,,,B,,,,
10758,"ch10,317",Rhodes,https://pleiades.stoa.org/places/590030,,3,,,,,,,,,,plinthophori; Group A,,,,,B,,,,
10759,"ch10,317",Rhodes,https://pleiades.stoa.org/places/590030,,29,,,,,,,,,,plinthophori; Group B,,,,,B,,,,
10760,"ch10,317",Rhodes,https://pleiades.stoa.org/places/590030,,1,,,,,,,,,,plinthophori; Group D,,,,,B,,,,
10761,"ch10,317",Lycian League,https://pleiades.stoa.org/places/638965,,2,,,,,,http://nomisma.org/id/ae,,,,I,,,,,B,,,,
10762,"ch10,317",Lycian League,https://pleiades.stoa.org/places/638965,,1,,,,,,,,,,II; AR,,,,,B,,,,
10763,"ch10,317",Lycian League,https://pleiades.stoa.org/places/638965,,1,,,,,,http://nomisma.org/id/ae,,,,III,,,,,B,,,,
10764,"ch10,317",Lycian League,https://pleiades.stoa.org/places/638965,,1,,,,,,,,,,IV; AR,,,,,B,,,,
10765,"ch10,317",Lycian League,https://pleiades.stoa.org/places/638965,,2,,,,,,http://nomisma.org/id/ae,,,,V,,,,,B,,,,
10766,"ch10,317",Rome,https://pleiades.stoa.org/places/423025,,1,,,,,,,,,,Imperial,,,,,B,,,,
10767,"ch10,317",Roman prov. Issue,https://pleiades.stoa.org/places/423025,,1,,,,,,,,,,,,,,,B,,,,
10768,"ch10,317",Illegible,,,1,,,,,,,,,,,,,,,B,,,,
10769,"ch10,317",Rhodes,https://pleiades.stoa.org/places/590030,,7,,,,,,,,,,plinthophori; Group B,,,,,C,,,,
10770,"ch10,317",Rhodes,https://pleiades.stoa.org/places/590030,,2,,,,,,,,,,plinthophori; Group C,,,,,C,,,,
10771,"ch10,317",Rhodes,https://pleiades.stoa.org/places/590030,,1,,,,,,,,,,plinthophori; Group D,,,,,C,,,,
10772,"ch10,318",Damascus,https://pleiades.stoa.org/places/678106,,5,,,,tetr,http://nomisma.org/id/tetradrachm,,,Alexander II Zabinas,http://nomisma.org/id/alexander_ii_zabinas,,,,,,,,,,
10773,"ch10,318",Antioch,https://pleiades.stoa.org/places/658381,,3,,,?,tetr,http://nomisma.org/id/tetradrachm,,,Alexander II Zabinas,http://nomisma.org/id/alexander_ii_zabinas,,,,,,,,,,
10774,"ch10,318",Uncert,,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Alexander II Zabinas,http://nomisma.org/id/alexander_ii_zabinas,,,,,,,,,,
10775,"ch10,319",Cos,https://pleiades.stoa.org/places/599728,,1,,,,,,,,,,,,,,,,,,,
10776,"ch10,319",Side,https://pleiades.stoa.org/places/639105,,,,,,,,,,,,,,,,,,,,,
10777,"ch10,319",Tyre,https://pleiades.stoa.org/places/678437,,2,,,,,,,,Antiochus III,,,,,,,,,,,
10778,"ch10,319",Ptolemaïs (Ake),https://pleiades.stoa.org/places/678010,,68,,,,,,,,Antiochus III,,,,,,,,,,,
10779,"ch10,319",Antioch on the Orontes,https://pleiades.stoa.org/places/658381,,4,,,,,,,,Seleucus IV,,,,,,,,,,,
10780,"ch10,319",Antioch on the Orontes,https://pleiades.stoa.org/places/658381,or Ptolemaïs (Ake),2,,,,,,,,Seleucus IV,,,,,,,,,,,
10781,"ch10,319",Ptolemaïs (Ake),https://pleiades.stoa.org/places/678010,,149,,,,,,,,Seleucus IV,,,,,,,,,,,
10782,"ch10,319",Samaria,https://pleiades.stoa.org/places/678369,?,2,,,,,,,,Seleucus IV,,,,,,,,,,,
10783,"ch10,319",Antioch on the Orontes,https://pleiades.stoa.org/places/658381,,4,,,,,,,,Demetrius I  ,,,,,,,,,,,
10784,"ch10,319",Ptolemaïs (Ake),https://pleiades.stoa.org/places/678010,,31,,,,,,,,Demetrius I  ,,,,,,,,,,,
10785,"ch10,319","Uncert. Mint 90, N. Syria",,,1,,,,,,,,Alexander I Balas,http://nomisma.org/id/alexander_i_balas,,,,,,,,,,
10786,"ch10,319",Tyre,https://pleiades.stoa.org/places/678437,,2,,,,,,,,Alexander I Balas,http://nomisma.org/id/alexander_i_balas,,,,,,,,,,
10787,"ch10,319",Gaza,https://pleiades.stoa.org/places/687902,,3,,,,,,,,Alexander I Balas,http://nomisma.org/id/alexander_i_balas,,,,,,,,,,
10788,"ch10,319",Tyre,https://pleiades.stoa.org/places/678437,,1,,,,,,,,"Demetrius II, first reign",,,,,,,,,,,
10789,"ch10,319",Antioch on the Orontes,https://pleiades.stoa.org/places/658381,,6,,,,,,,,Antiochus VII,,,,,,,,,,,
10790,"ch10,319",Antioch on the Orontes,https://pleiades.stoa.org/places/658381,,3,,,,,,,,Alexander II,,,,,,,,,,,
10791,"ch10,319",Antioch on the Orontes,https://pleiades.stoa.org/places/658381,,1,,,,,,,,Cleopatra Thea and Antiochus VIII,,,,,,,,,,,
10792,"ch10,319",Aradus,https://pleiades.stoa.org/places/668197,,3,,,,,,,,,,,,,,,,,,,
10793,"ch10,319",Ptolemaïs (Ake),https://pleiades.stoa.org/places/678010,,3,,,,,,,,,,,,,,,,,,,
10794,"ch10,319",Alexandria,https://pleiades.stoa.org/places/727070,,2,,,,,,,,Ptolemy I,,,,,,,,,,,
10795,"ch10,319",Alexandria,https://pleiades.stoa.org/places/727070,,2,,,,,,,,Ptolemy II,,,,,,,,,,,
10796,"ch10,319",Tyre,https://pleiades.stoa.org/places/678437,,4,,,,,,,,Ptolemy II,,,,,,,,,,,
10797,"ch10,320",Ephesus,https://pleiades.stoa.org/places/599612,,24,,,,,,,,,,,,,,,,,,,
10798,"ch10,320",Hierakome,https://pleiades.stoa.org/places/550578,,1,,,,,,,,,,,,,,,,,,,
10799,"ch10,321",,,,1,,,,,,,,Diodotos,,,,,,,,,,,
10800,"ch10,321",,,,51,,,,,,,,Euthydemus,,,,,,,,,,,
10801,"ch10,321",,,,2,,,,,,,,Agathocles,http://nomisma.org/id/agathocles_syracuse,,,,,,,,,,
10802,"ch10,322",,,,,,,,,,,,Alexander III,http://nomisma.org/id/alexander_iii,,,,,,,,,,
10803,"ch10,322",Athens,https://pleiades.stoa.org/places/579885,,,,,,,,,,,,new style,,,,,,,,,
10804,"ch10,322",Byzantium,https://pleiades.stoa.org/places/520998,,,,,,,,,,,,,,,,,,,,,
10805,"ch10,322",Mytilene,https://pleiades.stoa.org/places/550763,,,,,,,,,,,,,,,,,,,,,
10806,"ch10,322",Clazomenae,https://pleiades.stoa.org/places/550651,,,,,,,,,,,,,,,,,,,,,
10807,"ch10,322",Smyrna,https://pleiades.stoa.org/places/550771,,,,,,,,,,,,,,,,,,,,,
10808,"ch10,322",Antioch,https://pleiades.stoa.org/places/658381,,2,,,,,,,,Alexander I Balas,http://nomisma.org/id/alexander_i_balas,,,,,,,,,,
10809,"ch10,322",Ptolemaïs (Ake),https://pleiades.stoa.org/places/678010,,3,,,,,,,,Alexander I Balas,http://nomisma.org/id/alexander_i_balas,with jugate portrait,,,,,,,,,
10810,"ch10,322",Mopsus,https://pleiades.stoa.org/places/658538,,1,,,,,,,,"Demetrius II, 1st reign",,,,,,,,,,,
10811,"ch10,322",Antioch,https://pleiades.stoa.org/places/658381,,8,,,,,,,,Tryphon,,,,,,,,,,,
10812,"ch10,322",Unattributed Cilician issue imitating Soli,https://pleiades.stoa.org/places/658440,,3,,,,,,,,Antiochus VII,,,,,,,,,,,
10813,"ch10,322",Mallus,https://pleiades.stoa.org/places/648702,,4,,,,,,,,Antiochus VII,,,,,,,,,,,
10814,"ch10,322",Uncert. Mint 103,,,1,,,,,,,,Antiochus VII,,,,,,,,,,,
10815,"ch10,322",Antioch,https://pleiades.stoa.org/places/658381,,5,,,,,,,,"Demetrius II, second reign",,,,,,,,,,,
10816,"ch10,322",Damascus,https://pleiades.stoa.org/places/678106,,3,,,,,,,,"Demetrius II, second reign",,,,,,,,,,,
10817,"ch10,322",Sidon,https://pleiades.stoa.org/places/678393,,5,,,,tetr,http://nomisma.org/id/tetradrachm,,,"Demetrius II, second reign",,Attic Weight,,,,,,,,,
10818,"ch10,322",Tyre,https://pleiades.stoa.org/places/678437,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,"Demetrius II, second reign",,Attic Weight,,,,,,,,,
10819,"ch10,322",Antioch,https://pleiades.stoa.org/places/658381,,4,,,,,,,,Alexander II Zabinas,http://nomisma.org/id/alexander_ii_zabinas,,,,,,,,,,
10820,"ch10,322",Ptolemaïs (Ake),https://pleiades.stoa.org/places/678010,,1,,,,,,,,Cleopatra Thea & Antiochus VIII,,,,,,,,,,,
10821,"ch10,322",,,,,,,,,,,,Diodotus of Bactria,,,,,,,,,,,
10822,"ch10,323",,,,159,,,,tetr,http://nomisma.org/id/tetradrachm,,,Alexander III,http://nomisma.org/id/alexander_iii,,,,,,,,,,
10823,"ch10,323",Athens,https://pleiades.stoa.org/places/579885,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,,,,,,,,,,,,
10824,"ch10,323",Attalid,https://pleiades.stoa.org/places/177302800,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Attalids,,,,,,,,,,,
10825,"ch10,323",Babylon,https://pleiades.stoa.org/places/893951,,11,,,,st,http://nomisma.org/id/stater,,,,,Lion,,,,,,,,,
10826,"ch10,323",Susa,https://pleiades.stoa.org/places/912936,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Seleucus I,,Elephant Chariot,,,,,,,,,
10827,"ch10,323",Seleuceia ad Tigrim,https://pleiades.stoa.org/places/894178,,4,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus I,,,,,,,,,,,
10828,"ch10,323",Seleuceia ad Tigrim,https://pleiades.stoa.org/places/894178,,28,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus II,,,,,,,,,,,
10829,"ch10,323",Susa,https://pleiades.stoa.org/places/912936,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Seleucus II,,,,,,,,,,,
10830,"ch10,323",Seleuceia ad Tigrim,https://pleiades.stoa.org/places/894178,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Seleucus III,,,,,,,,,,,
10831,"ch10,323",Antioch,https://pleiades.stoa.org/places/658381,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus III,,,,,,,,,,,
10832,"ch10,323",Seleuceia ad Tigrim,https://pleiades.stoa.org/places/894178,,11,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus III,,,,,,,,,,,
10833,"ch10,323",Susa,https://pleiades.stoa.org/places/912936,,3,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus III,,,,,,,,,,,
10834,"ch10,325",Amisus,https://pleiades.stoa.org/places/857024,,295,,,,,,,,,,,,,,,,,,,
10835,"ch10,325",Sinope,https://pleiades.stoa.org/places/857321,,48,,,,,,,,,,,,,,,,,,,
10836,"ch10,325",Amastris,https://pleiades.stoa.org/places/844856,,38,,,,,,,,,,,,,,,,,,,
10837,"ch10,325",Comana,https://pleiades.stoa.org/places/857095,,15,,,,,,,,,,,,,,,,,,,
10838,"ch10,325",Cabeira,https://pleiades.stoa.org/places/857177,,10,,,,,,,,,,,,,,,,,,,
10839,"ch10,325",Chabacta,https://pleiades.stoa.org/places/860795,,3,,,,,,,,,,,,,,,,,,,
10840,"ch10,326",Temnus,https://pleiades.stoa.org/places/550908,,6,,,,tetr,http://nomisma.org/id/tetradrachm,,,Alexander III,http://nomisma.org/id/alexander_iii,"Price - , 1676, 1678, 1681, 1690",,,,,,,,,
14567,igch0569,,,,3,,,,,,,,ptolemy VIII,,,,,,,,,,,
10841,"ch10,326",Alabanda,https://pleiades.stoa.org/places/599479,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Alexander III,http://nomisma.org/id/alexander_iii,Price 2459,,,,,,,,,
10842,"ch10,326",Alabanda,https://pleiades.stoa.org/places/599479,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Alexander III,http://nomisma.org/id/alexander_iii,Price 2463,,,,,,,,,
10843,"ch10,326",Alabanda,https://pleiades.stoa.org/places/599479,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Alexander III,http://nomisma.org/id/alexander_iii,Price 2464,,,,,,,,,
10844,"ch10,326",Damascus,https://pleiades.stoa.org/places/678106,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VIII,,SE 194 (119/8 BC),,,,,,,,,
10845,"ch10,328",Cappadocian,https://pleiades.stoa.org/places/628949,,25,,,+,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,,control linked to dr or Mørkholm’s Mint B?,,,,,,,,,
10846,"ch10,329",Athens,https://pleiades.stoa.org/places/579885,,,,,,tetr,http://nomisma.org/id/tetradrachm,,,,,new style; to Thompson issue 36 (129/8 BC),,,,,A,,,,
10847,"ch10,329",Antioch,https://pleiades.stoa.org/places/658381,,2,,,,tetr,http://nomisma.org/id/tetradrachm,,,Demetrius I  ,,,,,,,A,,,,
10848,"ch10,329",Antioch,https://pleiades.stoa.org/places/658381,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Alexander I Balas,http://nomisma.org/id/alexander_i_balas,,,,,,A,,,,
10849,"ch10,329",Tarsus,https://pleiades.stoa.org/places/648789,“royal workshop”,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,,,,,,,A,,,,
10850,"ch10,329",Antioch,https://pleiades.stoa.org/places/658381,,991,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,,,,,,,A,,,,
10851,"ch10,329",Uncert. Mint 104,,,2,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,,,,,,,A,,,,
10852,"ch10,329",Uncert. Mint 107,,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,,,,,,,A,,,,
10853,"ch10,329",Tyre,https://pleiades.stoa.org/places/678437,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,,Attic Weight,,,,,A,,,,
10854,"ch10,329",Seleuceia ad Tigrim,https://pleiades.stoa.org/places/894178,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,,,,,,,A,,,,
10855,"ch10,329",Cappadocian,https://pleiades.stoa.org/places/628949,Imit,6,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,,SC class I,,,,,A,,,,
10856,"ch10,329",Antioch,https://pleiades.stoa.org/places/658381,,2,,,,tetr,http://nomisma.org/id/tetradrachm,,,"Demetrius II, second reign",,,,,,,A,,,,
10857,"ch10,329",Athens,https://pleiades.stoa.org/places/579885,,,,,,tetr,http://nomisma.org/id/tetradrachm,,,,,new style; to Thompson issue 44 (123/2 BC),,,,,B,,,,
10858,"ch10,329",Antioch,https://pleiades.stoa.org/places/658381,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus IV,,,,,,,B,,,,
10859,"ch10,329",Antioch,https://pleiades.stoa.org/places/658381,,2,,,,tetr,http://nomisma.org/id/tetradrachm,,,Demetrius I  ,,,,,,,B,,,,
10860,"ch10,329",Tarsus,https://pleiades.stoa.org/places/648789,?; “royal workshop” ,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,,,,,,,B,,,,
10861,"ch10,329",Tarsus,https://pleiades.stoa.org/places/648789,“royal workshop”,3,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,,,,,,,B,,,,
10862,"ch10,329",Antioch,https://pleiades.stoa.org/places/658381,,164,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,,,,,,,B,,,,
10863,"ch10,329",Uncert. Mint 103,,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,,,,,,,B,,,,
10864,"ch10,329",Uncert. Mint 105,,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,,,,,,,B,,,,
10865,"ch10,329",Uncert. Mint 106,,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,,,,,,,B,,,,
10866,"ch10,329","Unattributed issues of Syria, Northern Mesopotamia, or Cilicia",,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,,,,,,,B,,,,
10867,"ch10,329",Damascus,https://pleiades.stoa.org/places/678106,,8,,,,tetr,http://nomisma.org/id/tetradrachm,,,Antiochus VII,,,,,,,B,,,,
10868,"ch10,329",Tyre,https://pleiades.stoa.org/places/678437,,1,,,,tetr,http://nomisma.org/id/tetradrachm,,,,,Attic Weight,,,,,B,,,,
10869,"ch10,329",Cappadocian,https://pleiades.stoa.org/places/628949,Imit,5,,,,tetr,http://nomisma.org/id/tetradrachm,,,,,Class I,,,,,B,,,,
10870,"ch10,329",Cappadocian,https://pleiades.stoa.org/places/628949,Imit,3,,,,tetr,http://nomisma.org/id/tetradrachm,,,,,Class II,,,,,B,,,,
10871,"ch10,329",Cappadocian,https://pleiades.stoa.org/places/628949,Imit,18,,,,tetr,http://nomisma.org/id/tetradrachm,,,,,Class III,,,,,B,,,,
10872,"ch10,329",Cappadocian,https://pleiades.stoa.org/places/628949,Imit,21,,,,tetr,http://nomisma.org/id/tetradrachm,,,,,Class IV,,,,,B,,,,
